energy_lambda,disentangle_gamma,r2_total,r2_pred,final_train_loss,final_val_loss
0.0,0.0,0.22736519092478435,0.10553403631285108,0.021813847516051622,0.02064945952129934
0.0,0.0001,0.23612077846707302,0.109464301394532,0.02196344536016969,0.02083994018740423
0.0,0.001,0.23632958508984425,0.11201857798385051,0.021868976307850257,0.021963548791556382
0.0,0.01,0.24097306253615725,0.11411623519981784,0.021753555241351325,0.020683474437012683
0.0,0.1,0.23709536049676372,0.11203647116141802,0.021597595220002548,0.020635355190358782
0.0001,0.0,0.21951791396823805,0.09518586905264037,0.022141046798103216,0.021226035097638936
0.0001,0.0001,0.23825294005721243,0.10975304714243095,0.021761430565532588,0.020629959619303178
0.0001,0.001,0.22586889097283747,0.09986669131075154,0.022106236940268063,0.02098921800844925
0.0001,0.01,0.22803834800132006,0.10176493810938658,0.02195279539434933,0.02164182294111023
0.0001,0.1,0.23817411045827575,0.116200027031225,0.021590487006595174,0.02065188309470602
0.001,0.0,0.22147300447678875,0.09306467370176574,0.021945735815154643,0.021495623730542653
0.001,0.0001,0.21068645620840853,0.08675142076622044,0.021932830568403006,0.020822139640449856
0.001,0.001,0.22809572781841847,0.1050396517308495,0.021577889927178986,0.020485021967593352
0.001,0.01,0.25144297324998,0.12119070040439539,0.021743202295528688,0.020937619462223275
0.001,0.1,0.2290789314436924,0.10536540578415221,0.02187362481616255,0.021152696091730833
0.01,0.0,0.23252402600486932,0.10703414112402565,0.021871022197564004,0.02071153415121127
0.01,0.0001,0.23256197654939814,0.10632945623141687,0.021993004085779116,0.0216413896074654
0.01,0.001,0.2303797067074158,0.1052375326545747,0.021896496928735253,0.021706973672054045
0.01,0.01,0.22802688584817887,0.10148449236285817,0.022091526985533683,0.020930165618469332
0.01,0.1,0.2100665371254814,0.08650721035520847,0.022592559623458953,0.021271759785455795
0.1,0.0,0.22281125675377622,0.09796116442616865,0.022362534815043796,0.021230665062940208
0.1,0.0001,0.232258902679231,0.10709016031386354,0.021800666406075014,0.02132366883691398
0.1,0.001,0.24101666823852674,0.11594117219333444,0.021984771969180333,0.020701064776480534
0.1,0.01,0.23137993074491092,0.1102281942624096,0.022152136801285485,0.020928354542826315
0.1,0.1,0.2525806458483899,0.12677310183528034,0.021643948733267904,0.02069924604473075
