model,r2_total,r2_pred,sharpe_pred,sharpe_contemp,sharpe_chars_only,sharpe_tangency,architecture,K
IPCA_K1,0.03189685317396207,-0.0003343840144498511,-5.2105008908576735,5.360810035174291,1.2421820012371618,8.740996156257664,IPCA,1
IPCA_K2,0.055209420441768464,0.00289539948438966,7.909425202829831,7.117642983728615,1.2421820012371618,12.307884402926035,IPCA,2
IPCA_K3,0.05925627268759426,0.004472885099027657,2.4795462852209957,7.585902883875714,1.2421820012371618,11.778519165403344,IPCA,3
IPCA_K4,0.0625642179525594,0.0139171754796229,8.265605504149027,7.6150656312661065,1.2421820012371618,12.385938098109984,IPCA,4
IPCA_K5,0.06322818653165962,0.0007593862630176362,1.110048058141254,7.5847829550889285,1.2421820012371618,8.392657224449126,IPCA,5
IPCA_K6,0.061952047998350745,0.0024661653179055554,2.438908397296983,7.483131247752136,1.2421820012371618,7.387228078303882,IPCA,6
CA0_K1,0.11761034293954242,0.0005618110760523543,1.6386150084833666,2.7201872667035554,1.2421820012371618,0.48296598587739203,CA0,1
CA0_K2,0.14387345088285208,0.0036591621944243036,1.735285675618759,6.469167463354964,1.2421820012371618,5.895105918337337,CA0,2
CA0_K3,0.15018697935158676,0.0013887554322320472,3.4445392012411573,7.277164285632104,1.2421820012371618,10.059557462526193,CA0,3
CA0_K4,0.1528413323952471,0.008855570178484373,2.7642161189464045,7.389557728810286,1.2421820012371618,15.788786285809213,CA0,4
CA0_K5,0.15225085478479394,0.002378127060542967,4.672205385086553,7.295379646541057,1.2421820012371618,23.449735182578802,CA0,5
CA0_K6,0.15474096808327553,0.004172819248645987,1.673082861014478,7.421802758082892,1.2421820012371618,17.00183168076025,CA0,6
CA1_K1,0.11953556204249649,-5.380804561561092e-05,-0.9685671282737823,3.1808440809886007,1.2421820012371618,0.8963390160102901,CA1,1
CA1_K2,0.2026088177580896,-0.009011775768941188,2.253054728498906,8.377263064916423,1.2421820012371618,4.2043298901311825,CA1,2
CA1_K3,0.2190029096558248,0.020541057826195086,4.198920258757159,9.31536117193005,1.2421820012371618,14.718343302017274,CA1,3
CA1_K4,0.22331964259102044,0.016362311876367275,3.394090167269642,9.384114558201945,1.2421820012371618,13.67814212252909,CA1,4
CA1_K5,0.22937337590589246,0.0033179297435074195,4.799257011235131,9.491452629622081,1.2421820012371618,5.854277570642981,CA1,5
CA1_K6,0.21855220705858625,0.007663675352109878,5.558276770838874,9.047988910865573,1.2421820012371618,12.853606591048102,CA1,6
CA2_K1,0.12397729992324613,0.0019098855356083355,3.468783264347113,3.200050529319487,1.2421820012371618,1.0632637333642307,CA2,1
CA2_K2,0.22114034372300362,-0.009464882060274515,1.33853170058143,9.217996743599304,1.2421820012371618,12.853763944833492,CA2,2
CA2_K3,0.2462269246809683,0.018806390325134204,1.5380776550666102,10.20965569261277,1.2421820012371618,14.65958272597989,CA2,3
CA2_K4,0.24659056544281643,-0.002974786786726469,4.941605245835068,10.020035891611347,1.2421820012371618,17.113686691370233,CA2,4
CA2_K5,0.24601448605575504,0.006776441695887425,1.8701210546073472,10.156275724067434,1.2421820012371618,13.22727149697622,CA2,5
CA2_K6,0.2525109921462695,0.006838272051643002,3.2389073505556665,10.114044663112663,1.2421820012371618,35.39893446128054,CA2,6
CA3_K1,0.1278921105338019,0.00014457698313774525,2.497642715639316,3.194937550605041,1.2421820012371618,3.8931176102568337,CA3,1
CA3_K2,0.22609925095453587,0.0009056402625480242,0.15741938356758928,9.341308666542453,1.2421820012371618,11.835486016287453,CA3,2
CA3_K3,0.24436269799260135,0.027871751234739617,9.135215340776124,10.33245803143981,1.2421820012371618,14.464646610532572,CA3,3
CA3_K4,0.24540355675850045,0.015100679049730892,2.0080847597479594,10.105875625037376,1.2421820012371618,20.020299914524163,CA3,4
CA3_K5,0.2483508966247464,0.02763587482801666,10.591691812957842,10.195247759216413,1.2421820012371618,20.713202406578024,CA3,5
CA3_K6,0.24961430777675286,0.005988455177725283,7.202984695725123,10.033676558161892,1.2421820012371618,10.914964597810037,CA3,6
