test,mean_monthly,t_stat,p_value,significant_5pct
Newey-West (lags=3),-0.003559624,-1.0744345066509335,0.28262798376337095,False
i.i.d. t-test,-0.003559624,-1.1768043370192625,0.24108933040507977,False
Wilcoxon signed-rank,-0.003559624,5026.0,0.0686951558196785,False
