strategy,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,skewness,excess_kurtosis,n_months,mean_monthly,std_monthly
Long-Short (AE),0.6795789,0.31938615497034684,2.1277656835197325,3.3919876328661,-0.25289044,2.6872463,0.7307692307692307,0.9781336784362793,2.4633794,156,0.056631573,0.09219884
Chars-Only L/S,0.17756999,0.1429500621130784,1.2421819393771618,1.1398941357060275,-0.32267055,0.5503136,0.7051282051282052,-0.5071091651916504,1.5739651,156,0.014797499,0.04126613
Long Only,0.7160653,0.3630783472045576,1.9722059800679799,2.6009308886134517,-0.30229512,2.3687623,0.7628205128205128,0.8089789152145386,2.085013,156,0.059672106,0.10481169
Short Only,0.036486417,0.0755399864414267,0.48300799052196514,0.35681984174122533,-0.19601035,0.18614537,0.6858974358974359,-2.3290979862213135,15.161085,156,0.0030405347,0.021806516
Market (EW),0.069201104,0.16701090309381753,0.41435081818618813,0.40084944141216067,-0.34676012,0.19956477,0.5833333333333334,-0.24815873801708221,2.6550279,156,0.0057667587,0.048211895
